 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61
85.1063829787,65.9574468085,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,14.8936170213,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,14.8936170213,23.4042553191,0,85.1063829787
84.7826086957,65.2173913043,41.3043478261,10.8695652174,-23.9130434783,-56.5217391304,15.2173913043,0,-13.0434782609,-26.0869565217,59.0909090909,-4.347826087,13.0434782609,21.7391304348,-2.1739130435,84.7826086957
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
85.1063829787,63.829787234,42.5531914894,12.7659574468,-23.4042553191,-57.4468085106,14.8936170213,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
82.9787234043,63.829787234,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.0909090909,-4.2553191489,14.8936170213,23.4042553191,0,82.9787234043
85.1063829787,63.829787234,40.4255319149,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,63.829787234,40.4255319149,10.6382978723,-23.4042553191,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-23.4042553191,60.6060606061,-2.1276595745,14.8936170213,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,0,85.1063829787
85.1063829787,65.9574468085,42.5531914894,14.8936170213,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-4.2553191489,12.7659574468,23.4042553191,-2.1276595745,85.1063829787
85.1063829787,65.9574468085,42.5531914894,12.7659574468,-21.2765957447,-53.1914893617,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,14.8936170213,21.2765957447,0,85.1063829787
85.1063829787,63.829787234,42.5531914894,12.7659574468,-21.2765957447,-55.3191489362,17.0212765957,0,-12.7659574468,-25.5319148936,59.7014925373,-2.1276595745,14.8936170213,23.4042553191,0,85.1063829787
