 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61,,,,,,,,,,,,,,,,
76,83,93,103,117,133,149,115,123,129,135,143,124,116,112,123,1,0.8510638298,0.6382978723,0.4255319149,0.1276595745,-0.2127659574,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0212765957,0.1489361702,0.2340425532,0
76,84,93,104,118,134,149,115,123,129,135,143,124,116,112,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0212765957,0.1489361702,0.2340425532,0
76,84,93,104,118,134,149,115,123,129,135,143,124,116,112,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0212765957,0.1489361702,0.2340425532,0
76,84,93,104,118,135,150,115,123,129,135,143,125,117,112,123,1,0.829787234,0.6382978723,0.4042553191,0.1063829787,-0.2553191489,-0.5744680851,0.170212766,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2340425532,0
76,83,92,103,117,134,150,116,124,129,135,143,125,117,113,124,1,0.8541666667,0.6666666667,0.4375,0.1458333333,-0.2083333333,-0.5416666667,0.1666666667,0,-0.1041666667,-0.2291666667,0.6119402985,-0.0208333333,0.1458333333,0.2291666667,0
76,83,92,103,117,134,150,115,123,129,135,143,125,117,112,124,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2340425532,-0.5744680851,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,92,103,117,134,149,115,123,129,135,143,125,116,112,123,1,0.8510638298,0.6595744681,0.4255319149,0.1276595745,-0.2340425532,-0.5531914894,0.170212766,0,-0.1276595745,-0.2553191489,0.5970149254,-0.0425531915,0.1489361702,0.2340425532,0
76,84,93,104,117,134,149,116,123,129,135,143,125,117,112,124,1,0.829787234,0.6382978723,0.4042553191,0.1276595745,-0.2340425532,-0.5531914894,0.1489361702,0,-0.1276595745,-0.2553191489,0.5820895522,-0.0425531915,0.1276595745,0.2340425532,-0.0212765957
76,83,93,104,118,134,149,116,124,130,136,144,125,117,113,124,1,0.8541666667,0.6458333333,0.4166666667,0.125,-0.2083333333,-0.5208333333,0.1666666667,0,-0.125,-0.25,0.6029411765,-0.0208333333,0.1458333333,0.2291666667,0
76,83,92,103,118,134,150,116,124,130,135,143,125,117,113,124,1,0.8541666667,0.6666666667,0.4375,0.125,-0.2083333333,-0.5416666667,0.1666666667,0,-0.125,-0.2291666667,0.6119402985,-0.0208333333,0.1458333333,0.2291666667,0
76,84,93,104,118,135,150,116,124,130,135,143,126,117,113,124,1,0.8333333333,0.6458333333,0.4166666667,0.125,-0.2291666667,-0.5416666667,0.1666666667,0,-0.125,-0.2291666667,0.5970149254,-0.0416666667,0.1458333333,0.2291666667,0
