X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26
66,74,85,97,108,130,141,152,162,169,84,75,72,74,79,78,74,72,76,84,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,131.9696969697,143.1363636364,154.303030303,164.4545454545,171.5606060606,84,75,72,74,79,78,74,72,76,84
66,74,86,98,109,129,140,151,162,168,84,76,74,76,80,80,76,74,76,85,,67,75.1212121212,87.303030303,99.4848484848,110.6515151515,130.9545454545,142.1212121212,153.2878787879,164.4545454545,170.5454545455,84,76,74,76,80,80,76,74,76,85
66,74,86,97,108,129,140,151,162,169,84,76,74,76,81,80,76,74,77,85,,67,75.1212121212,87.303030303,98.4696969697,109.6363636364,130.9545454545,142.1212121212,153.2878787879,164.4545454545,171.5606060606,84,76,74,76,81,80,76,74,77,85
66,74,85,97,108,129,140,150,161,168,84,76,74,76,81,80,76,75,77,85,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,142.1212121212,152.2727272727,163.4393939394,170.5454545455,84,76,74,76,81,80,76,75,77,85
66,74,85,97,108,129,139,150,161,168,84,76,74,76,81,81,77,75,77,85,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,76,74,76,81,81,77,75,77,85
66,74,85,97,108,129,140,150,161,168,84,76,75,77,81,81,77,75,77,85,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,142.1212121212,152.2727272727,163.4393939394,170.5454545455,84,76,75,77,81,81,77,75,77,85
67,75,86,97,108,129,139,150,160,167,84,76,75,77,81,81,77,75,77,84,,67,75,86,97,108,129,139,150,160,167,84,76,75,77,81,81,77,75,77,84
66,74,85,97,108,129,139,150,161,168,85,77,75,77,81,81,77,75,78,86,,67,75.1212121212,86.2878787879,98.4696969697,109.6363636364,130.9545454545,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,76.0941176471,74.1176470588,76.0941176471,80.0470588235,80.0470588235,76.0941176471,74.1176470588,77.0823529412,84.9882352941
66,74,86,97,109,129,139,150,161,168,84,76,75,77,82,81,77,75,78,85,,67,75.1212121212,87.303030303,98.4696969697,110.6515151515,130.9545454545,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,76,75,77,82,81,77,75,78,85
66,73,85,97,108,128,139,150,161,168,85,77,75,77,81,81,77,75,78,86,,67,74.1060606061,86.2878787879,98.4696969697,109.6363636364,129.9393939394,141.1060606061,152.2727272727,163.4393939394,170.5454545455,84,76.0941176471,74.1176470588,76.0941176471,80.0470588235,80.0470588235,76.0941176471,74.1176470588,77.0823529412,84.9882352941
