 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61,,,,,,,,,,,,,,,,
1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1206896552,-0.4655172414,0.1724137931,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,70.6896551724,50,22.4137931034,-12.0689655172,-46.5517241379,17.2413793103,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.724137931,0.5172413793,0.2413793103,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.224137931,0.0172413793,,87.9310344828,72.4137931034,51.724137931,24.1379310345,-10.3448275862,-43.1034482759,15.5172413793,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,22.4137931034,1.724137931
1,0.8965517241,0.724137931,0.5,0.224137931,-0.1034482759,-0.4482758621,0.1551724138,0,-0.1206896552,-0.2413793103,0.6419753086,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,89.6551724138,72.4137931034,50,22.4137931034,-10.3448275862,-44.8275862069,15.5172413793,0,-12.0689655172,-24.1379310345,64.1975308642,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1206896552,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-12.0689655172,-24.1379310345,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1206896552,-0.4482758621,0.1551724138,0,-0.1206896552,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.2413793103,0.0172413793,,87.9310344828,70.6896551724,50,22.4137931034,-12.0689655172,-44.8275862069,15.5172413793,0,-12.0689655172,-25.8620689655,62.962962963,1.724137931,17.2413793103,24.1379310345,1.724137931
1,0.8813559322,0.7118644068,0.5084745763,0.2372881356,-0.1016949153,-0.4406779661,0.1694915254,0,-0.1186440678,-0.2542372881,0.6341463415,0.0169491525,0.186440678,0.2372881356,0.0169491525,,88.1355932203,71.186440678,50.8474576271,23.7288135593,-10.1694915254,-44.0677966102,16.9491525424,0,-11.8644067797,-25.4237288136,63.4146341463,1.6949152542,18.6440677966,23.7288135593,1.6949152542
1,0.8813559322,0.7118644068,0.5084745763,0.2372881356,-0.1016949153,-0.4237288136,0.1694915254,0,-0.1186440678,-0.2372881356,0.6419753086,0.0169491525,0.1694915254,0.2372881356,0.0169491525,,88.1355932203,71.186440678,50.8474576271,23.7288135593,-10.1694915254,-42.3728813559,16.9491525424,0,-11.8644067797,-23.7288135593,64.1975308642,1.6949152542,16.9491525424,23.7288135593,1.6949152542
1,0.8666666667,0.7,0.5,0.2333333333,-0.1,-0.4166666667,0.1666666667,0,-0.1166666667,-0.2166666667,0.6341463415,0.0166666667,0.1833333333,0.2333333333,0.0166666667,,86.6666666667,70,50,23.3333333333,-10,-41.6666666667,16.6666666667,0,-11.6666666667,-21.6666666667,63.4146341463,1.6666666667,18.3333333333,23.3333333333,1.6666666667
1,0.8793103448,0.7068965517,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1379310345,-0.2413793103,0.6296296296,0.0172413793,0.1724137931,0.224137931,0,,87.9310344828,70.6896551724,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-13.7931034483,-24.1379310345,62.962962963,1.724137931,17.2413793103,22.4137931034,0
1,0.8793103448,0.724137931,0.5,0.224137931,-0.1034482759,-0.4310344828,0.1551724138,0,-0.1379310345,-0.2586206897,0.6296296296,0.0172413793,0.1724137931,0.224137931,0,,87.9310344828,72.4137931034,50,22.4137931034,-10.3448275862,-43.1034482759,15.5172413793,0,-13.7931034483,-25.8620689655,62.962962963,1.724137931,17.2413793103,22.4137931034,0
