 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61
77,84,94,105,119,135,151,117,125,131,137,145,126,118,114,125
77,85,94,105,119,135,151,117,125,131,136,144,126,119,114,125
77,84,94,105,119,135,150,117,125,131,137,144,126,118,114,125
77,85,94,105,120,136,152,117,125,131,137,145,127,119,115,125
77,85,94,105,119,135,151,117,125,131,137,144,127,119,115,125
77,85,95,106,119,135,150,118,125,131,137,144,127,119,115,125
77,85,94,105,119,135,150,117,125,131,137,144,126,119,114,125
77,85,95,106,120,136,151,117,125,131,137,144,127,119,115,125
77,85,94,105,119,136,151,117,125,131,137,144,127,119,114,125
77,84,94,105,119,135,151,117,125,131,137,144,127,119,115,125
77,85,94,105,119,135,150,117,125,131,137,145,127,119,114,125
77,84,94,105,119,135,150,117,125,131,136,144,127,119,114,125
77,85,95,106,120,136,151,117,125,131,136,144,127,119,114,125
77,85,94,105,119,136,151,117,125,131,137,144,127,119,115,125
77,84,94,105,119,135,150,117,125,131,136,144,127,119,114,125
78,85,95,106,120,136,151,118,125,131,137,145,127,119,115,125
77,84,94,106,120,136,151,118,125,131,137,144,127,119,115,125
77,85,95,106,120,136,150,118,125,131,137,144,127,119,115,125
77,85,94,105,119,135,151,118,125,131,137,144,127,119,115,125
77,84,94,105,119,134,149,117,124,131,136,144,126,118,114,125
76,83,93,104,118,134,149,117,125,131,136,144,126,118,114,125
77,84,93,104,118,134,149,117,124,130,136,144,126,118,114,125
76,83,92,103,117,133,148,117,124,130,136,143,125,117,114,124
76,83,92,103,117,133,149,116,124,129,135,142,125,117,113,124
75,82,91,102,116,133,148,116,124,130,135,143,125,117,113,124
75,82,91,102,116,132,148,116,124,130,135,142,125,117,113,124
75,82,91,102,116,132,148,116,124,129,135,142,125,117,113,124
75,81,91,102,116,132,147,116,124,129,135,142,125,117,113,124
75,82,91,102,116,132,148,116,124,130,136,143,125,117,114,124
75,82,92,102,117,133,148,117,124,130,135,142,125,117,113,124
76,83,91,102,116,133,148,117,124,129,135,142,124,117,114,124
75,82,92,102,116,133,148,117,124,130,135,142,125,117,114,124
75,82,91,102,116,132,148,117,124,130,135,142,125,118,114,124
75,82,90,101,116,132,148,117,124,130,135,142,125,117,113,124
75,82,91,102,116,133,148,117,124,130,135,143,125,117,113,124
75,82,92,102,117,132,148,117,124,130,136,143,125,117,113,124
75,82,91,102,116,132,148,117,124,130,135,142,125,117,113,124
75,83,92,103,117,133,148,117,124,130,135,143,125,117,114,124
75,82,91,102,116,132,148,117,125,130,136,143,125,118,114,125
75,82,91,102,116,133,148,117,124,130,135,143,125,117,114,124
75,82,91,103,117,133,148,117,124,130,136,143,125,117,113,124
76,83,92,103,117,134,149,117,124,130,135,143,126,118,114,125
75,83,92,103,117,133,148,117,124,130,136,143,125,118,114,124
76,83,92,103,117,133,149,117,124,130,136,143,126,118,114,125
