 Y17, Y18, Y19, Y20, Y21, Y22, Y23, Y24, Y25, Y26
81,73,71,73,77,77,72,71,73,81
81,73,71,73,77,76,72,71,73,82
81,73,71,73,78,77,73,71,74,81
81,73,71,73,78,77,72,71,73,81
81,73,71,73,77,77,73,71,74,82
81,73,71,73,78,76,72,71,74,82
81,73,71,73,77,77,73,71,74,82
82,73,71,73,77,77,72,71,74,82
81,73,71,73,77,77,73,71,73,81
82,73,71,73,77,77,72,71,73,82
81,73,71,73,77,77,72,71,74,82
81,73,70,72,77,77,72,71,74,82
81,73,71,73,78,77,72,71,74,82
79,71,67,68,73,72,68,67,71,80
78,69,64,64,68,67,64,64,69,79
77,71,69,70,74,75,70,70,73,80
81,74,71,72,77,77,72,71,75,83
80,73,70,71,77,77,72,72,76,85
82,74,70,71,76,77,72,72,77,85
80,73,70,71,77,77,72,72,76,84
80,72,69,70,76,76,71,70,74,83
80,72,70,71,77,76,71,70,74,82
83,75,71,72,77,77,72,72,77,86
82,74,71,72,77,77,72,72,76,85
81,74,71,72,77,77,72,72,75,84
81,73,71,72,77,76,72,71,74,83
81,74,70,71,77,77,72,71,75,83
82,74,70,71,77,77,71,71,75,85
82,74,71,72,77,77,72,72,76,85
84,75,71,72,77,77,73,73,78,87
82,74,71,72,77,77,72,72,76,85
85,77,73,73,78,77,73,73,78,87
81,73,69,70,75,75,70,70,73,81
79,70,66,67,70,71,68,67,72,80
81,71,68,69,73,72,68,67,71,81
81,72,69,71,75,74,70,69,72,81
81,73,70,71,76,75,71,70,73,82
82,73,70,72,77,76,72,70,73,82
82,73,70,72,77,77,72,70,73,82
82,73,71,73,78,77,72,71,74,83
82,74,71,73,77,77,73,71,74,82
82,73,71,73,78,77,72,71,74,82
82,74,71,73,77,77,72,71,74,83
83,74,71,73,78,77,73,71,74,83
82,74,72,73,78,77,73,72,75,83
82,74,72,73,78,77,73,72,74,83
82,74,72,74,78,78,73,72,74,83
82,74,72,74,78,78,73,72,74,83
83,74,72,73,78,78,73,72,75,83
82,74,72,74,78,78,74,72,75,83
82,74,72,74,78,78,73,72,75,83
82,74,72,73,78,78,73,72,75,84
81,73,71,73,78,77,73,72,74,83
80,72,68,69,73,73,69,69,73,81
79,70,67,68,73,74,71,71,75,84
81,73,70,71,76,77,73,73,77,86
83,75,71,72,77,77,73,73,77,86
84,75,72,72,77,77,73,74,79,88
82,74,72,72,77,78,74,74,78,86
84,76,72,73,78,78,75,75,79,87
90,80,78,81,85,85,81,79,81,90
90,81,78,81,85,85,81,79,81,90
90,80,78,80,85,86,80,78,81,89
90,80,78,80,85,85,80,79,81,89
90,81,78,80,85,85,80,79,81,90
90,81,78,80,85,85,80,79,81,89
89,80,78,80,85,85,81,79,80,88
90,81,78,80,85,86,81,79,81,89
89,80,78,80,85,85,81,79,81,89
89,80,78,81,85,86,81,79,81,89
90,81,79,81,85,86,81,79,81,89
89,80,78,81,85,86,81,79,81,89
89,81,78,81,85,86,81,79,82,90
90,81,78,81,85,86,81,79,82,91
90,81,78,81,85,86,81,79,81,90
90,81,79,81,85,86,81,79,82,91
90,81,79,81,85,86,81,79,81,90
90,82,79,81,85,86,81,79,82,91
91,81,79,81,85,86,81,79,82,91
91,82,79,81,86,86,81,79,82,90
90,81,79,81,86,86,81,79,81,89
91,82,79,81,86,86,81,80,82,91
89,81,79,81,85,85,80,79,81,89
90,81,78,81,85,85,81,79,81,90
90,81,78,81,85,85,81,79,82,91
90,81,78,81,85,86,81,79,81,90
90,81,78,80,85,86,81,79,81,90
90,81,78,81,86,86,81,79,81,90
91,81,78,81,85,86,81,79,81,91
91,81,78,81,85,86,81,79,81,91
90,81,78,81,85,86,81,79,81,90
90,81,79,81,85,86,81,79,81,90
90,81,78,80,85,86,81,79,81,90
90,81,78,80,85,85,81,79,81,90
90,81,78,80,85,85,80,78,81,89
90,81,78,80,85,85,81,79,81,90
90,81,78,80,85,86,81,79,81,90
89,81,78,81,85,85,81,79,81,89
90,81,78,80,85,86,81,79,81,90
90,81,78,80,85,85,81,79,81,90
90,81,78,80,85,85,81,79,81,90
90,81,78,80,85,86,81,79,81,90
90,81,79,81,85,85,81,79,81,90
89,81,78,81,85,86,81,79,81,90
91,82,79,81,86,86,81,79,82,91
90,81,79,81,86,86,81,79,82,91
90,81,78,80,85,86,81,79,81,89
91,82,79,81,86,86,81,79,82,91
89,81,78,81,86,85,81,79,82,90
90,82,79,81,85,85,81,79,82,90
90,81,79,81,86,86,81,79,82,90
90,82,79,81,86,86,81,80,82,91
89,81,79,81,85,85,81,80,82,90
90,82,79,81,85,86,81,79,82,91
89,81,79,81,85,85,81,79,82,90
89,81,79,80,85,85,81,79,82,90
90,81,78,80,85,85,81,79,82,91
89,81,78,80,85,85,80,78,81,89
89,81,79,80,85,85,80,79,81,89
89,80,78,80,85,85,80,79,81,90
90,81,78,80,85,85,80,79,81,89
90,80,78,80,85,85,80,78,81,89
89,80,78,80,85,85,80,79,81,89
90,80,78,80,85,85,80,79,81,90
89,80,78,80,85,85,80,79,81,89
90,81,78,80,85,85,80,78,81,90
89,80,78,80,85,86,80,78,81,90
89,80,78,80,85,86,81,79,81,89
90,81,78,80,85,85,80,79,81,90
90,81,78,80,85,85,81,79,81,90
91,81,78,80,85,85,80,78,81,90
90,80,78,80,85,85,80,78,81,90
90,81,78,80,85,85,80,79,81,90
89,80,78,80,85,85,80,78,81,89
89,81,78,80,85,85,80,79,81,89
90,81,78,80,85,85,80,79,81,90
89,80,78,80,85,85,80,79,81,89
89,81,78,80,85,85,80,79,81,89
90,81,78,80,85,85,81,79,81,90
89,81,78,80,85,85,80,78,81,90
90,81,78,80,85,85,80,79,82,90
89,81,78,80,85,85,80,79,81,89
89,81,78,80,85,85,80,79,82,91
89,81,78,80,85,85,80,79,81,90
90,81,78,81,85,85,80,78,81,90
89,81,78,81,85,85,81,79,81,89
89,81,78,80,85,85,80,79,82,90
89,81,78,80,85,85,80,79,81,90
90,81,78,80,85,86,81,79,82,91
88,80,78,80,85,85,80,78,81,89
89,81,78,80,85,85,81,79,81,89
89,81,78,80,85,85,80,78,81,89
89,81,78,80,85,85,80,79,81,89
89,80,78,80,85,85,80,78,81,89
89,80,78,80,85,85,80,78,81,89
89,81,78,80,85,85,80,78,81,90
90,81,78,80,85,85,80,78,81,90
89,80,78,80,85,85,80,78,81,89
89,81,78,80,85,85,80,79,81,89
89,80,78,80,85,85,80,79,81,89
89,80,78,80,85,85,80,78,81,89
89,80,78,80,85,85,80,78,81,89
88,80,78,80,85,85,80,79,81,89
89,80,78,80,85,85,80,78,81,89
89,80,78,80,85,85,80,78,81,89
90,81,78,80,85,85,80,79,81,90
89,80,78,80,85,85,80,78,80,89
89,80,78,80,85,85,80,78,81,89
89,81,78,80,85,85,80,79,81,90
89,80,78,80,85,85,80,78,80,89
89,80,78,80,85,85,80,78,81,89
89,81,78,80,85,85,80,78,81,90
89,80,78,80,85,85,80,78,81,90
89,81,78,80,85,85,80,79,81,90
89,80,78,80,85,85,80,78,81,89
89,80,78,80,85,85,80,78,81,91
90,81,78,80,85,85,80,79,81,91
89,80,77,80,85,85,80,78,81,90
89,80,78,80,85,85,80,78,81,90
88,80,77,80,85,85,80,78,81,89
