 X17, X18, X19, X20, X21, X22, X23, X24, X25, X26
69,77,87,98,108,129,138,149,159,165
69,76,87,98,107,129,138,149,159,165
69,76,87,98,107,130,139,150,160,166
69,76,86,98,107,130,139,150,160,166
68,76,87,98,107,130,139,150,159,166
69,76,87,98,107,130,139,150,159,165
69,76,87,98,107,130,140,150,160,166
69,77,87,98,108,129,139,150,160,166
69,77,87,98,108,130,139,150,160,166
69,76,87,98,108,129,139,150,160,166
67,74,84,96,107,133,143,154,163,168
66,73,85,96,108,131,142,153,163,169
67,74,86,97,108,130,141,152,163,169
67,74,86,98,109,130,141,152,163,169
67,75,87,98,109,130,141,152,162,169
67,75,86,98,109,130,141,152,163,169
66,74,86,98,109,130,141,152,162,169
67,75,87,99,110,130,141,152,163,170
66,75,87,98,110,130,141,152,163,169
66,74,86,98,110,130,141,152,162,169
67,75,87,99,110,130,140,151,162,169
67,75,87,99,110,130,140,151,162,168
67,74,86,98,109,130,141,152,162,169
67,75,87,99,110,129,140,151,162,169
67,75,86,98,109,130,140,151,162,169
67,75,87,99,110,130,141,152,162,168
67,75,87,99,110,129,140,151,162,169
67,75,87,99,110,129,140,151,162,169
66,74,86,98,110,130,141,152,163,170
67,75,86,98,109,129,140,151,162,169
67,75,87,99,110,129,140,151,162,169
67,75,87,99,110,129,140,151,161,169
66,74,86,98,109,130,140,152,162,169
66,73,84,96,107,132,142,153,163,168
68,75,85,96,105,132,142,152,161,167
68,76,86,97,107,130,140,151,161,167
68,76,87,98,108,129,139,150,160,166
69,76,87,99,108,129,139,150,160,166
69,76,87,99,109,128,138,149,159,165
69,77,87,98,108,129,138,148,158,164
69,76,86,98,107,129,139,149,159,165
69,76,86,98,108,128,138,149,159,165
69,76,86,97,107,130,139,150,159,165
69,76,86,97,107,129,139,149,159,165
69,76,87,98,107,129,139,149,159,166
69,76,87,98,108,128,138,149,158,165
68,76,87,99,108,129,138,149,159,165
69,76,87,98,107,129,138,149,159,165
69,76,87,98,107,129,138,149,159,165
68,76,86,98,108,129,138,149,159,165
